Review,Preprocessing,label
awalnya sih pas udah beli pembersih Hada Labo sekalian liat-liat produk Hada Labo yg lain..dan tertarik ma anti aging ma katanya bisa cetahin wajah jadi deh beli dan bener2 enak sih dimuka adem bangun2 muka cerahan tapi ga enaknya itu pas aplikasiin kemuka ya padahal be ... Read more,sih pas udah beli bersih hada labo lihat produk hada labo yg lain dan tarik ma anti aging ma cerahin wajah deh beli bener enak sih muka adem bangun muka cerah enak pas aplikasiin muka ya ,positif
"beli ini karena murahh awalnya, tapi pas dipake langsung fallin' in lovee😍 buat daily emang paling cuma pake loose powder aja tp tetep aku set pake pixy ini ala-ala setting spray dan bikin muka kayak mulus tanpa poridan shining bgt, bisa ngebantu nahan minyak jugaaa",beli murahh pas dipake langsung fallin in lovee daily emang pake loose powder aja tp tetep set pake pixy alaala setting spray bikin muka kayak mulus poridan shining bgt ngebantu nahan minyak jugaaa,positif
"Jujur sampe sekarang aku masih berusaha cari tau ini bagusnya apa di kulit aku and still have no idea. Sometimes I only use it pre or post make up, and sometimes both, but... there's no major change, probably just a very litte hydration. It's not like I have a high expe ... Read more",jujur sampe usaha cari tau bagus kulit and still have no idea sometimes i only use it pre or post make up and sometimes both but theres no major change probably just a very litte hydration its not like i have a high expe ,positif
"Karena white secret series harganya menguras kantong pelajar buat beli serangkaian jadi aku beli night cream nya aja. wanginya oke gak ganggu, gak lengket juga. efek mencerahkannya lumayan ada, walaupun bikin muka jadi lebih berminyak. aku sempet stop pake ini sebentar ... Read more",white secret series harga uras kantong ajar beli rangkai beli night cream nya aja wangi oke gak ganggu gak lengket efek cerah lumayan bikin muka minyak sempet stop pake sebentar read more,positif
"Sayangnya tidak bekerja dengan baik dikulit aku :( aromanya juga aku gk suka, buat kulitku jadi memerah dan perih. Buat kulit jadi kyk kilang minyak juga. Nyobain ini karena emang penasaran aja sih.....",sayang kulit aroma wangi gk kulit mulus kulit kyk cerah minyak padahal nyobain emang penasaran aja sih ternyata bagus,positif
"Awalnya pakai satu rangkaian dan manjur banget, kulit langsung kelihatan cerah dan glowing tapi lama kelamaan produknya bikin resistance di muka ku, setelah pemakaian yang ke empat kalinya. repurchase? No, mau ganti skincare lainnya",pakai rangkai manjur banget kulit langsung cerah glowing produk bikin resistance muka ku pakai kali repurchase no ganti skincare,positif
"Harganya lumayan mahal dan nggak terlalu ngefek dimuka yang kering, nggak ada aromanya kayak air putih disemprot dimuka aja rasanya, nyegerin tapi gak ada efek lain. Packagingnya lucu pink putih but yah for me its not really worth the money.",harga lumayan mahal dan ngefek muka mulus nggak aroma kayak air putih semprot muka aja nyegerin gak efek packagingnya lucu pink putih but yah for me its not really worth the money,positif
Awalny liat youtube pada bagus2 hasilnya. Akhirnya gw coba. Setelah coba baru pakai sekali pagi ini. sore nya muka gw merah dan nimbul jerawat deh:( syg bgt mahal2. Gw preloved deh baru di pakai sekali doang asli. Minat WA ya 081806690010,awalny liat youtube bagus hasil gw coba coba pakai pagi sore nya muka gw mulus  jerawat hilang ,positif
"aku pakek ink udah lama banget sampek mau habiss :( tapi tetep yaa enggak ada efek untuk memutihkan wajahh, hanya saja wajah keliatan bersih dan sehat.. kalau teksturnya enak banget lembuttt kayak pakek serum gitu, baunya jugaa harumm pass gak keterlaluan ..",pakek ink udah banget sampek habiss tetep yaa efek mutih wajahh wajah liat bersih sehat tekstur enak banget lembuttt kayak pakek serum gitu bau jugaa harumm pass gak,positif
First time coba... Facial wash yg bentuk pump itu sm night creamnya. Pas pake night creamnya kok agak panas dan perih dikit y dimuka aku... Jd worry sih sebetulnya.. Jd g nyaman. Trasa berat aja gt di wjah gw. Semoga deh g nimbulin masalah yg aneh2 diwajahq 😞,first time coba facial wash yg bentuk pump sm night creamnya pas pake night creamnya adem enak dikit y muka wangi sih jd nyaman gak trasa berat aja gt wjah gw moga deh g nimbulin yg aneh diwajahq,positif
