Review,Preprocessing,label
"Dia  ngasih efek auntuk area kelopak mataku. Melembabkan , mencerahkan enggak. Menyebabkan milia iya. Pas dipake juga jadi berat di kelopak mata, agak lama meresapnya. Pumpnya juga berlebihan saat dipake, jadinya krimnya banyak banget yang keluar. Big NO ... Read more",gak ngasih efek melembabkan cerah sebab milia iya pas dipake ringan kelopak mata resap pumpnya dipake krim banget big no,positif
"Pertama tau ini dari thread di twitter, karena udah hopeless banget sama hitam dibawah mata (karena faktor turunan) akhirnya beli ini juga. Emang prosesnya lambat tapi dia beneran meringankan mataku🥺 berhubung lumayan pricey akhirnya aku memutuskan untuk mencoba yg lai ... Read more",tau thread twitter udah hopeless banget hitam bawah mata faktor turun beli emang proses lambat beneran ringan mata hubung lumayan pricey putus coba yg lai read more,positif
Asli sih awalnya aku ngira produk ini kayak ga ngasih efek kecuali bikin lembab. Sampe akhirnya produk ini abis dan aku ganti merek lain. Nah sejak aku ganti merek itu aku ngerasa banget kalo mata aku jadi jauh lebih gelap padahal jam tidurku sama aja kayak sebelumnya : ... Read more,asli sih ngira produk kayak ga ngasih efek kecuali bikin lembab sampe produk abis ganti merek ganti merek ngerasa banget kalo mata gelap jam tidur aja kayak read more,positif
"dapet di the littles juga, udh pake sebulan blm ada perubahan yg berarti huhu teksturnya kental dan agak lama meresapnya, mau aku coba habisin dulu deh biar tau hasilnya. untuk repurchase kayanya no hehe",dapet the littles udh pake bulan blm ubah yg huhu tekstur kental resap coba habisin deh biar tau hasil repurchase kaya no hehe,positif
"Harganya agak mahil sih. Pemakaian kurleb 3 bulan, pedih banget sih pas dipakenya, harus nunggu cukup lama juga buat nyerapnya, sampe harus keluar air mata banyak. Wanginya sih enak. Tapi kalo buat repurchase I would say No.",harga mahil sih pakai kurleb pedih banget sih pas dipakenya nunggu nyerapnya sampe air mata wangi sih enak kalo repurchase i would say no,positif
"Salah satu eye cream yg aku suka di tahun 2019 lalu. Got this from my mom karena dia beli keracunan mbak countermya. Sebenernya aku belum butuh anti aging seperti ini sih considering I’m still under 20 umurnya, BUT I do have problems with dark circles & memutuskan buat ... Read more",salah eye cream yg suka got this from my mom beli racun mbak countermya sebenernya butuh anti aging sih considering i m still under umur but i do have problems with dark circles putus read more,positif
Engga cocok pake ini. Pernah sekali pake kulit langsung panas dan merah. Langsung buru2 cuci muka. Besoknya nyoba lagi tapi kaya gt lagi. Jadi ga pernah dilanjutin makenya sampe sekarang. Repurchase? Of course... No ?,engga cocok pake pake kulit langsung panas merah langsung buru cuci muka besok nyoba kaya gt ga dilanjutin makenya sampe repurchase of course no,positif
No no no no no just noooo. A big no for me! Aku pernah dapet sample produk ini dan it's a big no no noooo banget karena aku ngerasa kulit aku kayak terbakar gitu langsung panas dan merah. Buru2 dong langsung diapus/dibersihin dan bener aja kulit aku kebakar langsung mer ... Read more,no no no no no just noooo a big no for me dapet sample produk its a big no no noooo banget ngerasa kulit kayak bakar gitu langsung panas merah buru langsung diapusdibersihin bener aja kulit bakar langsung mer read more,positif
Emang ada alasan sih kenapa se-bucin itu sama Sometinc! Baru pake 5 hari rutin pagi malam tapi udah ada perubahan di kantong mata ku yang sebelumnya item banget sekarang warnanya udah makin terang. Sampe shock banget sama hasilnya sih. So far klaim ngurangin garis halus ... Read more,emang alas sih sebucin sometinc pake rutin pagi malam udah ubah kantong mata ku item banget warna udah terang sampe shock banget hasil sih so far klaim ngurangin garis halus read more,positif
"Eye serum satu satunya dari lamer yg cepat meresap. Biasa aku pake sebelum pakai eye gel atau eye cream. Sangat hidrasi, awet tahan seharian. Harganya mahal sih, tp karena aku punya kantung mata, terpaksa harus menggenapi kebutuhan karena hasilnya di aku yg oke 😜😁 ... Read more",eye serum satu lamer yg cepat resap pake pakai eye gel eye cream hidrasi awet tahan hari harga mahal sih tp kantung mata paksa genap butuh hasil yg oke read more,positif
